File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,3,30.174729275477866
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,3,33.77427491931016
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Approximate,4,28.30232934626025
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,haar,Detailed,4,32.68121123349589
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Approximate,1,33.16847342879517
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,db3,Detailed,1,35.8054928725174
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,1,33.423452039395904
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,1,35.76250125348532
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Approximate,2,31.94587903150167
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,sym2,Detailed,2,35.228274562201214
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Approximate,1,33.32378441405797
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,coif1,Detailed,1,36.12880995154955
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Approximate,1,32.593480083877544
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,bior1.3,Detailed,1,36.28370377988885
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Approximate,1,33.36101055645149
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_2.png,rbio1.3,Detailed,1,35.453719457740675
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,1,34.819062234810644
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,1,45.89876557166588
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,2,32.7398465023102
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,2,38.67788767101998
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,3,32.765416450562526
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,3,37.37020486832974
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Approximate,4,32.36973068593896
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,haar,Detailed,4,36.64053797309856
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Approximate,1,33.955697448317316
rotated_0deg_Q4_2023-09-28_3_19_42_uv_Photo_Capture_3.png,db3,Detailed,1,42.026198275135165
